PO Number,Part Number,Actual  M/C Fin Date,Actual Fin Date,Remarks,Status 
PX16915,A110004-66APA1,27-Jun-13,10-Jul-13,Pending for Painting,Part In Process at Protec
PX16914,A110004-66APA1,23-Jun-13,10-Jul-13,Pending for Painting,Part In Process at Protec
PX16943,A114130-6,28-Jun-13,10-Jul-13,Part required technicial Clarification,Pending GE Approval
PP69273,H57003-52,5-Jul-13,11-Jul-13,Accepted,In Process
PP69274,A50510-61,4-Jul-13,15-Jul-13,Accepted,In Process
PX16774,H223958-1,12-Jul-13,18-Jul-13,Accepted,In Process
PX16774,H57721-71,7-Jul-13,18-Jul-13,Accepted,In Process
PX16797,H57010-151,11-Jun-13,15-Jul-13,Revised Date,Pending Material
PX16914,A110004-76APA1,21-Jun-13,30-Jul-13,"1 Pc Upon Confirmation from GE approval, Bal TBA",1 Pc Delivered
PP74513,H30211-1,24-Jul-13,30-Jul-13,GRV Need to issue for each PO ,GRV Required for each PO
PP69846,H30211-1,21-Jul-13,30-Jul-13,GRV Need to issue for each PO ,GRV Required for each PO
PX19765,H204381-1H904,14-Jul-13,5-Aug-13,Part at Proclad,Parts at Proclad for Cladding
PP69820,H280879-1,1-Aug-13,8-Aug-13,Material ETA,IPO13-400452 to Haigo
PP69820,H280899-1,1-Aug-13,8-Aug-13,,IPO13-400452 to Haigo
PP69820,H58352-4,1-Aug-13,8-Aug-13,,IPO13-400352 to Higo
PP69891,H272620-3H904,2-Aug-13,9-Aug-13,Material ETA 17th July,IPO13-400364 to Higo
PP69292,H57801-201H904,1-Jul-13,12-Aug-13,Material ETA 17th July,IPO13-400352 to Higo
PP69891,H57437-15H904,5-Aug-13,12-Aug-13,Material ETA 17 th July,IPO13-400365 to Haigo
PP69292,H58714-3,6-Aug-13,12-Aug-13,Material ETA 18th July Want to pull in Order to 29th July Accept,IPO13-400395 to Higo
PP69879,H57720-71H904,8-Aug-13,19-Aug-13,Material ETA 17 th July,IPO13-400363 to Higo
PP69289,H57721-71,10-Aug-13,21-Aug-13,Material ETA 30th July Request for change Due to QTC requirment confirmation delay,IPO13-400281 to OHMI Japan
PS08393,H11635-1,23-Aug-13,30-Aug-13,,Altrenatieve Mtl
PS09298,H11636-1,23-Aug-13,30-Aug-13,,Altrenatieve Mtl
PX19773,A50510-64,18-Aug-13,30-Aug-13, TBA upon Material confirmationof GE Material ,GE Pending Material
PP69806,H30211-1,27-Aug-13,2-Sep-13,GRV Need to issue for each PO ,GRV Required for each PO
PX19727,H57010-151,30-Aug-13,10-Sep-13,GE consign Material,Pending Material
PP69850,H30211-1,3-Sep-13,12-Sep-13,GRV Need to issue for each PO ,GRV Required for each PO
PP74562,H30211-1,21-Sep-13,30-Sep-13,GRV Need to issue for each PO ,GRV Required for each PO
